ID,partita,punti,stagione,campo,campionato
5973,Gardolo - Blue Bear Villazzano A,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5787;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5974,Gs Belvedere Trento - Gardolo,"a:2:{i:5788;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PalaBocchi,Promozione
5975,Gardolo - Us Piani Bolzano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""98"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5790;a:2:{s:6:""points"";s:2:""42"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
5976,Piani Junior - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5786;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PALAMAZZALI,Serie D
5977,Gardolo - Europa Bolzano,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
5978,Pall. Villazzano - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5778;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALESTRA S.M. PASCOLI,Serie D
5979,Gardolo - Pergine Audace,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5789;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
5980,Charly Merano - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""51"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5782;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,"Palestra """"Segantini""""",Serie D
5981,Gardolo - Piani Junior,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""46"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5786;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
5982,Gardolo - Europa Bolzano,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""39"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
5983,Pergine Audace - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5789;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Palestra ''Garbari'',Serie D
5984,Gardolo - Pall. Villazzano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5778;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
5985,Gardolo - Us Piani Bolzano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""85"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5790;a:2:{s:6:""points"";s:2:""37"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
5986,Charly Merano - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""37"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5782;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,"Palestra """"Segantini""""",Serie D
5987,Piani Junior - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""43"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5786;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PALAMAZZALI,Serie D
5988,Europa Bolzano - Gardolo,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,SC. MEDIA ADA NEGRI,Serie D
5992,Minibasket Trento - Gardolo,"a:2:{i:5779;a:2:{s:6:""points"";s:3:""123"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""23"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALESTRA 'MANAZZON',Under 13
5993,Gardolo - Junior Basket Rovereto A,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5994;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 13
5995,Virtus Altogarda A - Gardolo,"a:2:{i:5783;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,SC. ELEM. PERNICI,Under 13
5996,Gardolo - Aquila Basket Trento,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""46"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5780;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 13
5998,Gardolo U20 - Junior Basket Rovereto,"a:2:{i:5777;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""44"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
5999,Junior Basket Rovereto - Gardolo U20,"a:2:{i:5777;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5785;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,"SCUOLA M. """"D. CHIESA""""",Promozione
6002,Marmotte Val Di Sole - Gardolo,"a:2:{i:6001;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PALESTRA SCUOLA CICCOLINI,Promozione
6003,Gardolo - Marmotte Val Di Sole,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6001;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
6004,Gardolo - Pergine Audace,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5789;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
6005,Pergine Audace - Gardolo,"a:2:{i:5789;a:2:{s:6:""points"";s:2:""91"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""48"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Palestra ''Garbari'',Serie D
6006,Gardolo - Pergine Audace,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""91"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5789;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
6065,Asd Tridentum Basket - Gardolo U20,"a:2:{i:6064;a:2:{s:6:""points"";s:2:""52"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5785;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PALESTRA 'MANAZZON',Promozione
6066,Gardolo U20 - Asd Tridentum Basket,"a:2:{i:5785;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6064;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
6067,Gardolo 77 - Blue Bear Villazzano A 67,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5787;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
6068,Blue Bear Villazzano A - Gardolo,"a:2:{i:5787;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""43"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PalaBocchi,Promozione
6069,Gardolo - Blue Bear Villazzano A,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5787;a:2:{s:6:""points"";s:2:""32"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
6151,Piani Junior vs Bc Gardolo,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PALAMAZZALI,Serie D
6152,Piani Junior - Gardolo,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALAMAZZALI,Serie D
6153,Gardolo - Piani Junior,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5786;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Serie D
6208,Gardolo 44 - Virtus Altogarda Junior 56,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""46"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3431;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
6270,Gardolo - Charly Merano A,NULL,2016/2017,Centro Sportivo Trento Nord,Under 18
6276,Gardolo 75 - Junior Basket Rovereto 72,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""75"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5777;a:2:{s:6:""points"";s:2:""72"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Promozione
6596,Bc Gardolo 100 - Maia Merano 51,"a:2:{i:5763;a:2:{s:6:""points"";s:3:""100"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5771;a:2:{s:6:""points"";s:2:""51"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Coppa Trentino
6598,Bc Gardolo 62 - Olimpia Basket Bolzano 60,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5773;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Coppa Trentino
6599,Pall. Villazzano 61 - Bc Gardolo 57,"a:2:{i:5778;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA S.M. PASCOLI,Coppa Trentino
6600,Europa Bolzano 82 - Bc Gardolo 72,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""82"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""72"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,SC. MEDIA ADA NEGRI,Coppa Trentino
6601,Apecheronza Avio 50 - Bc Gardolo 75,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""75"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA,Coppa Trentino Serie D
6602,Piani Junior 57 - Bc Gardolo 66,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALAMAZZALI,Coppa Trentino Serie D
6603,Bc Gardolo 96 - Virtus Altogarda Junior 40,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""96"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3431;a:2:{s:6:""points"";s:2:""40"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Coppa Trentino Serie D
6613,Bc Gardolo 92 - Junior Basket Rovereto 55,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""92"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5777;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Coppa Trentino Serie D
6654,Bc Gardolo 89 - Pergine Audace 86,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""89"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5789;a:2:{s:6:""points"";s:2:""86"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6657,Piani Junior 79 - Gardolo 73,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALAMAZZALI,Serie D
6658,Bc Gardolo 74 - Europa Bolzano 66,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3365;a:2:{s:6:""points"";s:2:""66"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6660,Gardolo 64 - Cus Trento 53,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6661;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6662,Bc Gardolo 86 - Psg Villafranca 57,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""86"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6663;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6665,Charly Merano 63 - Bc Gardolo 73,"a:2:{i:5782;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA SEGANTINI,Serie D
6666,Bc Gardolo 57 - Piani Junior 44,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5786;a:2:{s:6:""points"";s:2:""44"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6667,Europa Bolzano 68 - Bc Gardolo 78,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,SC. MEDIA ADA NEGRI,Serie D
6668,Bc Gardolo 81 - Pall. Villazzano 58,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""81"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5778;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Serie D
6669,Cus Trento 75 - Bc Gardolo 55,"a:2:{i:6661;a:2:{s:6:""points"";s:2:""75"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""55"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA SANBAPOLIS,Serie D
6670,Psg Villafranca 68 - Bc Gardolo 82,"a:2:{i:6663;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""82"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA ISTITUTO CARLO ANTI,Serie D
6741,Bc Gardolo 53 - Virtus Altogarda B 88,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3397;a:2:{s:6:""points"";s:2:""88"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 16
6742,Virtus Altogarda A 110 - Gardolo 36,"a:2:{i:5783;a:2:{s:6:""points"";s:3:""110"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""36"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Pal. 'E. Impera',Under 16
6744,Olimpia Bk Bolzano 36 - Bc Gardolo 45,"a:2:{i:6745;a:2:{s:6:""points"";s:2:""36"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""45"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,"Pal. Scuola Media """"E. Fermi""""",Under 16
6746,Gardolo - Junior Bk Rovereto,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6747;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 16
6748,Basket Pergine 77 - Bc Gardolo 41,"a:2:{i:5776;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""41"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Palestra ''Garbari'',Under 16
6749,Bc Gardolo 63 - Val Di Fiemme Basket 44,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6750;a:2:{s:6:""points"";s:2:""44"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 16
6751,Charly Merano 31 - Bc Gardolo 103,"a:2:{i:5782;a:2:{s:6:""points"";s:2:""31"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:3:""103"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA SEGANTINI,Under 16
6752,Pall. Villazzano 52 - Bc Gardolo 65,"a:2:{i:5778;a:2:{s:6:""points"";s:2:""52"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA S.M. PASCOLI,Under 16
6753,Virtus Altogarda B 97 - Bc Gardolo 64,"a:2:{i:3397;a:2:{s:6:""points"";s:2:""97"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Pal. 'E. Impera',Under 16
6754,Bc Gardolo 53 - Virtus Altogarda A 96,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5783;a:2:{s:6:""points"";s:2:""96"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 16
6755,Maia Merano  - Bc Gardolo 44,"a:2:{i:5771;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""44"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,"Palestra """"Segantini""""",Under 16
6756,Bc Gardolo 60 - Olimpia Bk Bolzano 50,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6745;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 16
6757,Junior Bk Rovereto 64 - Bc Gardolo 58,"a:2:{i:6747;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Palestra Filzi,Under 16
6758,Bc Gardolo 48 - Basket Pergine 64,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""48"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5776;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 16
6759,Val Di Fiemme Basket 49 - Bc Gardolo 78,"a:2:{i:6750;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,"Istituto Superiore """"La Rosa B",Under 16
6760,Bc Gardolo 145 - Charly Merano 35,"a:2:{i:5763;a:2:{s:6:""points"";s:3:""145"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5782;a:2:{s:6:""points"";s:2:""35"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 16
6761,Bc Gardolo 70 - Pall. Villazzano A 67,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5772;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 18
6764,Virtus Altogarda B 69 - Bc Gardolo 76,"a:2:{i:3397;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Palestra ENAIP,Under 18
6766,Basket Pergine 77 - Bc Gardolo 69,"a:2:{i:5776;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Palestra ''Garbari'',Under 18
6767,Pall. Villazzano B 65 - Bc Gardolo 86,"a:2:{i:5784;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""86"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,PALESTRA S.M. PASCOLI,Under 18
6768,Apecheronza Avio 81 - Bc Gardolo 77,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""81"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA,Under 18
6769,Pall. Villazzano A 82 - Bc Gardolo 73,"a:2:{i:5772;a:2:{s:6:""points"";s:2:""82"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,PALESTRA S.M. PASCOLI,Under 18
6770,Bc Gardolo 88 - Virtus Altogarda B 63,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""88"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3397;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 18
6771,Virtus Altogarda A 80 - Bc Gardolo 79,"a:2:{i:5783;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,SC. ELEM. PERNICI,Under 18
6772,Bc Gardolo 80 - Basket Pergine 73,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5776;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 18
6773,Bc Gardolo 0 - Pall. Villazzano B 20,"a:2:{i:5763;a:2:{s:6:""points"";s:1:""0"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5784;a:2:{s:6:""points"";s:2:""20"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2017/2018,Centro Sportivo Trento Nord,Under 18
