ID,partita,punti,stagione,campo,campionato
5904,Gardolo - Minibasket Trento,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""35"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5779;a:2:{s:6:""points"";s:2:""72"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 14
5905,Olimpia Basket Bolzano - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""40"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5773;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,"Pal. Scuola Media """"E. Fermi""""",Under 14
5906,Junior Basket Rovereto - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""48"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5777;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,"SCUOLA M. """"D. CHIESA""""",Under 14
5907,Gardolo - Pall. Villazzano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""38"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5778;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 14
5908,Virtus Altogarda - Gardolo,"a:2:{i:3378;a:2:{s:6:""points"";s:3:""115"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""25"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,SC. ELEM. PERNICI,Under 14
5909,Gardolo - Ssv Leifers Basket,"a:2:{i:3380;a:2:{s:6:""points"";s:2:""23"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 14
5910,Junior Basket Rovereto - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5777;a:2:{s:6:""points"";s:2:""51"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,"SCUOLA M. """"D. CHIESA""""",Under 15
5911,Gardolo - Virtus Altogarda C,"a:2:{i:4516;a:2:{s:6:""points"";s:2:""45"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 15
5912,Olimpia Basket Bolzano - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""84"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5773;a:2:{s:6:""points"";s:2:""34"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,"Pal. Scuola Media """"E. Fermi""""",Under 15
5913,Us Brunico - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""83"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5770;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Handelsoberschuele,Under 15
5914,Gardolo - Junior Basket Rovereto,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""83"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5777;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 15
5915,Virtus Altogarda C - Gardolo,"a:2:{i:4516;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,SC. ELEM. PERNICI,Under 15
5916,Gardolo - Us Brunico,"a:2:{i:5763;a:2:{s:6:""points"";s:3:""102"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5770;a:2:{s:6:""points"";s:2:""27"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 15
5917,Gardolo - Aquila Basket Trento,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5780;a:2:{s:6:""points"";s:3:""105"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 15
5918,Crcsd Paganella - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:3:""110"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5781;a:2:{s:6:""points"";s:2:""44"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALAVIS,Under 15
5919,Gardolo - Basket Pergine,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5776;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 15
5920,Aquila Basket Trento - Gardolo,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""47"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5780;a:2:{s:6:""points"";s:2:""96"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,PALESTRA 'MANAZZON',Under 15
5921,Gardolo - Pall. Villazzano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5778;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 16
5922,Virtus Altogarda B - Gardolo,"a:2:{i:3397;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Pal. 'E. Impera',Under 16
5923,Gardolo - Maia Merano B,"a:2:{i:3399;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 16
5924,Apecheronza Avio - Gardolo,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,PALESTRA,Under 16
5925,Gardolo - Charly Merano,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""92"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5782;a:2:{s:6:""points"";s:2:""32"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2016/2017,Centro Sportivo Trento Nord,Under 16
